id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19794440.0000000000000000,21000000.0000000000000000,1992150747172.4250968237633560,19559461677.6699245891474260,100641.9351682808453699,3.1513701967279395,100317.5261225684501117,https://blockchain.info/
ethereum,2,ETH,Ethereum,120445329.2295306500000000,,473506408856.5795907972366734,13143450072.2395406472840658,3931.2973934773871117,7.1275788416690333,3804.7251538661048148,https://etherscan.io/
tether,3,USDT,Tether,139742488654.3256000000000000,,139749170120.0210436349525326,45324564751.7048780511190229,1.0000478127000584,-0.0298792838776907,1.0004888142784024,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,119732101378.9112633245688016,660500468.7457781227031032,717.8134132440818892,5.2316001170645133,702.4156316538892216,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
xrp,5,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,110521877387.2293671673693440,3860595218.0463348954456736,2.4341865842684696,4.7488499292638056,2.3999694854014163,https://xrpcharts.ripple.com/#/graph/
solana,6,SOL,Solana,478876438.8656623000000000,,110374853539.8950884287555362,1645947466.6212740174492231,230.4871248235668547,4.7260936775018866,227.1746863214256863,https://explorer.solana.com/
dogecoin,7,DOGE,Dogecoin,147165846383.7052000000000000,,61365375123.2392396050079033,2685911624.8210620987529127,0.4169810905938150,6.5360654994722382,0.4095482339686375,http://dogechain.info/chain/Dogecoin
usd-coin,8,USDC,USDC,41558271864.3827800000000000,,41539099768.2335552653306916,4744518933.1309639610038484,0.9995386695526756,-0.0377216483013870,0.9998552883368232,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
cardano,9,ADA,Cardano,35112728715.2777900000000000,45000000000.0000000000000000,40889042016.1346780427256552,1196279185.7359416798623975,1.1645076732058017,15.2797317009595965,1.0894295609189211,https://cardanoexplorer.com/
steth,10,STETH,Lido Staked ETH,9844099.5083301500000000,,38470153581.8300232900336706,285450.0588934109195383,3907.9403402288136223,6.9051461589159566,3868.0576573758672460,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84
tron,11,TRX,TRON,86252824283.2544300000000000,,25419445431.2079416756128003,671765296.1167567675155801,0.2947085575740736,8.6375470004502717,0.2815353417872487,https://tronscan.org/#/
avalanche,12,AVAX,Avalanche,409685030.3568282000000000,715748719.0000000000000000,20659742301.2943172892551962,372453473.1294175508077069,50.4283553716865320,13.5262772513150929,47.6007000082988955,https://avascan.info/
chainlink,13,LINK,Chainlink,626849970.4527867000000000,,18166886230.4651207501968734,1125652595.0046036806777939,28.9812348835923260,30.0091110289908206,25.6031000002239944,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
shiba-inu,14,SHIB,Shiba Inu,589255623215219.5000000000000000,,17256989547.0778598798718759,545884765.4823473895859960,0.0000292860837762,8.5135332423489562,0.0000286114386821,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
polkadot,15,DOT,Polkadot,1522267060.0000000000000000,,14406916259.6010001744950020,464815471.3814979160063339,9.4641187726948517,13.2487486060974373,9.0335202071329440,https://polkascan.io/polkadot
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,136236.2332860400000000,,13674361053.2375467668463357,90511866.4108164775218073,100372.4245996072016640,3.1196123749388071,100068.3730247801569731,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
stellar,17,XLM,Stellar,30171794740.2264630000000000,50001806812.0000000000000000,13350593118.4974229789378533,435869873.6082879066214720,0.4424858790616715,7.4165371418845651,0.4322228580122793,https://dashboard.stellar.org/
uniswap,18,UNI,Uniswap,600483073.7100000000000000,,11170491909.9730679672387986,480913250.9819315321246164,18.6025092113883557,20.3913193779438505,16.9637007653939045,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
bitcoin-cash,19,BCH,Bitcoin Cash,19800756.2500000000000000,21000000.0000000000000000,10994156204.8263634264750144,187289412.9784296670072465,555.2392073321120463,6.1848313230053191,544.5249193016067257,https://blockchair.com/bitcoin-cash/blocks
litecoin,20,LTC,Litecoin,75296162.0541093600000000,84000000.0000000000000000,9183303274.5311136885049176,590787482.6342587729604128,121.9624350565411871,10.3282350090466688,116.7407300532214708,http://explorer.litecoin.net/chain/Litecoin
unus-sed-leo,21,LEO,UNUS SED LEO,924539555.9000000000000000,,8852502954.3245299906648330,862841.7348107961266561,9.5750397025544183,5.8909837101664905,9.2661165324441529,https://eospark.com/account/bitfinexleo1
near-protocol,22,NEAR,NEAR Protocol,1217906155.0000000000000000,,8639365924.7147066735204780,163936637.8013573808238025,7.0936220243625476,10.0722418113365552,6.8196945453724154,https://explorer.nearprotocol.com/
internet-computer,23,ICP,Internet Computer,475590981.3440741300000000,,6547967628.4451046001976093,106199309.4444436454120669,13.7680651763828750,16.0840976665514617,12.8697302711005090,https://www.dfinityexplorer.org/#/
sp8de,24,SPX,Sp8de,7783756906.1800000000000000,,5708549047.0135539215858835,19174165.6641471558531175,0.7333925141574229,2.3471012452101287,0.7498025438700979,https://etherscan.io/token/0x05aaaa829afa407d83315cded1d45eb16025910c
multi-collateral-dai,25,DAI,Multi Collateral DAI,5365382702.6648720000000000,,5367789602.2783797568509612,19396250.7040981976825007,1.0004485979373498,0.0520405685138023,1.0004813105674651,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
aave,26,AAVE,Aave,15010786.3317303400000000,,5257213503.5318438453689247,533173978.5802808580532394,350.2290544512619482,28.4924609359809632,310.4961739556908923,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
ethereum-classic,27,ETC,Ethereum Classic,149910888.6267105000000000,210700000.0000000000000000,5204914823.6823070800100455,287498278.4161769396471238,34.7200585051759673,15.7126676479673398,33.1449838424358313,http://gastracker.io/
vechain,28,VET,VeChain,80985041177.0000000000000000,86712634466.0000000000000000,5073136934.2077707431098988,118586927.6374089308423803,0.0626428888653644,13.9726671824270494,0.0588611855596341,https://explore.veforge.com/
crypto-com-coin,29,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,4871621167.2844022134000152,33532510.4151228977284493,0.1928361052516506,13.0232622850355231,0.1868634219508005,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
fetch,30,FET,Artificial Superintelligence Alliance,2520000000.0000000000000000,2630547141.0000000000000000,4723817864.6661382800000000,168103823.8597170316931963,1.8745308986770390,9.3745116171687228,1.8067299900639984,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
hedera-hashgraph,31,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,4607970240.8419594401146524,410280526.7673034975819419,0.3106617699464233,10.3996399111365817,0.2972729971891432,https://hash-hash.info/
filecoin,32,FIL,Filecoin,610812644.0000000000000000,,4246798271.9400860379120064,257049460.0142930668029316,6.9527019678723056,12.2566048080942300,6.6518247257348284,https://protocol.ai
algorand,33,ALGO,Algorand,8312522534.2961470000000000,10000000000.0000000000000000,3877422430.1947771001669442,203623035.6445838020377219,0.4664555691966125,13.5025628344990107,0.4463050403452482,https://algoexplorer.io/
monero,34,XMR,Monero,18446744.0737095500000000,,3837579287.7327134716877702,97072062.6297914335067621,208.0355900422591513,13.1449534761839481,196.5603048664927263,http://moneroblocks.info/
stacks,35,STX,Stacks,1504401080.8526400000000000,1818000000.0000000000000000,3703935268.7209411830783742,52832480.6379451697133856,2.4620663437849200,12.4908099410728897,2.3275033400949490,https://explorer.xinfin.network/
fantom,36,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,3680867847.7672335554054654,184185800.1197665258481385,1.3128913227659602,15.9272385139804398,1.2346965259396128,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
okb,37,OKB,OKB,60000000.0000000000000000,,3382151942.7290495040000000,122743.7156052937009279,56.3691990454841584,5.7176857742323565,55.0435606215062619,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
the-graph,38,GRT,The Graph,9548531509.1654740000000000,,2834331138.0966250013243538,74605976.8896776158966677,0.2968342446559451,14.8308509194431130,0.2812483436882548,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
theta,39,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,2724806952.8411455000000000,55932656.5147450714741380,2.7248069528411455,13.8895884333690906,2.5865339132475509,https://explorer.thetatoken.org/
cosmos,40,ATOM,Cosmos,248453201.0000000000000000,,2261210013.1671297944687264,178561038.0789118075571215,9.1011506556002464,14.7934196191886689,8.5902911253198752,https://www.mintscan.io/
thorchain,41,RUNE,THORChain,340770574.0000000000000000,,2233309047.7948837480270144,89206275.6833556477806416,6.5537027495657056,7.3159672824172791,6.3364273488832303,https://explorer.binance.org/asset/RUNE-B1A
injective-protocol,42,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,2210257792.1034673675322666,56299726.4545795302030388,30.2752004609491932,11.0217345933582434,28.8078809385318705,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
mantra-dao,43,OM,MANTRA DAO,500205033.1781248500000000,888888888.0000000000000000,2080805534.4019573029179851,150011035.9289056592355939,4.1599052316232388,1.1900475430375956,4.2823832440445338,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d
the-sandbox,44,SAND,The Sandbox,2430232126.2233224000000000,,1969353254.9996114831248401,231395486.6135892889440304,0.8103560288539453,18.1545655485646855,0.7651562580975605,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
gala,45,GALA,Gala,36519992060.2224900000000000,,1962015232.4766295692606414,155397339.0389898282395548,0.0537244156362688,15.4410874740623638,0.0510269796663152,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
lido-dao,46,LDO,Lido DAO,896366955.0711010000000000,,1839998144.7642275619766036,13861076.6456443067630575,2.0527286669311415,10.6019153810807344,1.9422479429992248,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
