exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,34.277433570611865527000000000000000000,20201237913.8458821004362170,556,1,https://www.binance.com/,1733987808805
gdax,Coinbase Pro,2,11.579498540405143762000000000000000000,6824320859.8414293831073441,212,1,https://pro.coinbase.com/,1733987831041
crypto,Crypto.com Exchange,3,7.623708377542251232000000000000000000,4492995264.7491016021855952,108,0,https://api.crypto.com/,1733987791790
digifinex,DigiFinex,4,7.337759317000998374000000000000000000,4324472583.7457275357637453,121,0,https://www.digifinex.com/,1733987830956
whitebit,WhiteBIT,5,6.155776378317445308000000000000000000,3627876716.8099713617346674,107,0,https://whitebit.com,1733987830643
gate,Gate,6,5.284551047306958971000000000000000000,3114424326.8562096836295761,1058,0,https://gate.io/,1733987831191
kraken,Kraken,7,3.188075978120853341000000000000000000,1878876993.1904402303354637,295,0,https://kraken.com,1733987830333
huobi,Huobi,8,3.016131930097770149000000000000000000,1777542609.0152470855377881,198,1,https://www.hbg.com/,1733987811686
currency-com,Currency.com,9,2.999224934159369333000000000000000000,1767578553.6067089765033015,42,0,https://currency.com/,1733987830729
bitmax,AscendEX (Bitmax),10,2.737421748079590297000000000000000000,1613286125.6830838147459380,142,0,https://www.bitmax.io/,1733987811293
lbank,LBank,11,2.677167632172104307000000000000000000,1577775657.0177997054930483,111,0,https://www.lbank.info,1733987827858
kucoin,Kucoin,12,2.043653684709884333000000000000000000,1204417308.9355129463441747,518,0,https://www.kucoin.io/,1733987793667
bigone,BigONE,13,1.810150699247846842000000000000000000,1066803465.9039235069112513,58,0,https://big.one/,1733987821122
probit,ProBit,14,1.406743131722490197000000000000000000,829057187.9908507774367925,312,0,https://www.probit.com/en-us/,1733987828746
tidex,Tidex,15,1.002622811423847525000000000000000000,590890852.7150456990247878,26,0,https://tidex.com/,1733987831029
bitstamp,Bitstamp,16,0.811505955519329305000000000000000000,478257067.9388286566104609,90,1,https://www.bitstamp.net/,1733987830606
bitfinex,Bitfinex,17,0.719518815961763055000000000000000000,424044896.9083307895781765,132,1,https://bitfinex.com,1733987775019
uniswap-42161-univ3,UNISWAP UNIV3 (Arbitrum),18,0.613371169863726956000000000000000000,361487300.5700917213423199,4,1,https://uniswap.org/,1733987174421
hitbtc,HitBTC,19,0.604144726134384743000000000000000000,356049741.0605328366946295,228,1,https://hitbtc.com/,1733987797060
yobit,YoBit,20,0.592166438287935985000000000000000000,348990395.6726067991233346,11,0,https://yobit.net,1733987831192
dex-trade,Dex-Trade,21,0.540784569544945248000000000000000000,318708742.5028351149400187,75,0,https://dex-trade.com/,1733987777902
bibox,Bibox,22,0.461723490889390017000000000000000000,272114482.2774875515904800,131,0,https://www.bibox.com,1733987821871
gemini,Gemini,23,0.329695496937251672000000000000000000,194304429.4443126591944779,58,1,https://gemini.com/,1733987829951
btcturk,BTCTurk,24,0.295221408992933194000000000000000000,173987294.2366433667592745,83,0,https://www.btcturk.com/,1733987788223
coincheck,coincheck,25,0.274192595812361223000000000000000000,161594065.9854254465629187,1,0,coincheck,1733987809203
bitkub,Bitkub,26,0.186935444518277174000000000000000000,110169490.4160482429577583,45,0,https://www.bitkub.com/,1733987831130
bitbank,Bitbank,27,0.150004957174178821000000000000000000,88404688.2299233136971588,4,0,https://www.bibank.com,1733987815389
independentreserve,Independent Reserve,28,0.138000571723183247000000000000000000,81329962.3463325223216921,96,0,https://www.independentreserve.com/,1733987830645
exmo,Exmo,29,0.130556122662376093000000000000000000,76942612.6836142528096013,120,0,https://www.exmo.com/,1733987790054
uniswap-8453-univ3,UNISWAP UNIV3 (Base),30,0.127995641662501568000000000000000000,75433605.7229328629013325,2,1,https://uniswap.org/,1733987166535
pancake-42161-univ3,PANCAKE UNIV3 (Arbitrum),31,0.104008761797313437000000000000000000,61297055.3312795119589010,3,1,https://pancakeswap.finance/,1733987175141
bitso,Bitso,32,0.099193739329328989000000000000000000,58459345.3774146402281485,27,1,https://www.bitso.com/,1733987776551
luno,Luno,33,0.074175312350542696000000000000000000,43714857.7369526855368507,24,1,https://www.luno.com/,1733987831133
alterdice,Alterdice,34,0.067123965673241417000000000000000000,39559181.0423212248412668,1,0,https://alterdice.com/,1733987830771
uniswap-1-univ3,UNISWAP UNIV3 (Ethereum),35,0.059482889263129375000000000000000000,35055950.0124785961308571,2,1,https://uniswap.org/,1733987137752
indodax,Indodax,36,0.057775672211723710000000000000000000,34049809.9887520566144003,161,0,https://indodax.com/,1733987792793
pancake-8453-univ3,PANCAKE UNIV3 (Base),37,0.053537446198897505000000000000000000,31552032.2061365685566546,1,1,https://pancakeswap.finance/,1733987166537
binanceus,Binance.US,38,0.047256284786176741000000000000000000,27850260.4322302331195828,45,0,https://www.binance.us/,1733987813496
max-exchange,Max,39,0.044744628605138602000000000000000000,26370028.1398559792624827,22,0,https://max.maicoin.com/,1733987831202
itbit,Itbit,40,0.039187239319639389000000000000000000,23094807.9310571446000000,5,0,https://www.itbit.com/,1733987825222
sushi-42161-univ3,SUSHI UNIV3 (Arbitrum),41,0.037997287313952206000000000000000000,22393515.5334385974850969,2,1,https://sushi.com/,1733987143736
kickex,KickEX,42,0.034107247487140810000000000000000000,20100939.5774858341807467,34,0,https://kickex.com,1733987829604
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),43,0.033669617653173109000000000000000000,19843024.5741362822013157,2,1,https://uniswap.org/,1733987153891
