id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr
harmony,100,ONE,Harmony,14316630023.762896,,485763897.61993223,39001102.89527467,0.03732304924378305,-4.797839020590273
bitcoin,1,BTC,Bitcoin,19794440.0,21000000.0,1940670660169.2852,23365130155.367325,107845.32051354896,0.2074359243525079
ethereum,2,ETH,Ethereum,120444873.4958635,,445686535745.2441,18450324930.74212,4070.3699135572224,-1.7649035328663971
tether,3,USDT,Tether,138618977175.67438,,138709848406.0978,58079955003.60036,1.1007211015079064,-0.0023552195514324
binance-coin,4,BNB,BNB,166801148.0,166801148.0,114785437891.20097,801661513.1335162,756.9730975731719,-2.179372052161179
xrp,5,XRP,XRP,45404028640.0,100000000000.0,106883832368.56175,6969658444.139866,2.58946659860573,4.620919844804044
solana,6,SOL,Solana,476391721.0485822,,106474181094.24208,2754628160.916422,245.85145800995625,2.5383065949093164
dogecoin,7,DOGE,Dogecoin,147153566383.70523,,58722797920.32925,3980581103.932958,0.4389637254453589,-3.655206473732947
usd-coin,8,USDC,USDC,40861863631.62531,,40882202728.34836,5850381548.6928835,1.1005475278023795,0.0527279999398348
steth,9,STETH,Lido Staked ETH,9843406.50757394,,36226206316.44475,175120.77924370955,4048.276063518034,-1.7359475571213872
cardano,10,ADA,Cardano,35112728715.27779,45000000000.0,35741244222.04238,1312580246.050272,1.1196899267797502,-1.6294619685420626
tron,11,TRX,TRON,86256662281.09227,,23467171309.091274,931228051.1174041,0.2992683435382462,-1.6796240584676345
avalanche,12,AVAX,Avalanche,409431555.34501064,715748719.0,18451714558.326996,446869270.9896088,49.573330998037925,-2.4834006429555626
shiba-inu,13,SHIB,Shiba Inu,589255626238149.2,,16223483666.050333,881924341.4772499,3.0285382502980003e-05,0.4051778915475933
chainlink,14,LINK,Chainlink,626849970.4527867,,14189687180.064627,810740844.2231677,24.900146181384738,-3.986027776794354
wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,136236.23328604,,13328722936.205774,173998166.87096515,107618.9122099628,0.2196537063249279
polkadot,16,DOT,Polkadot,1522267060.0,,12969968575.043085,502427076.59674263,9.372182981182945,-1.9730756293619582
stellar,17,XLM,Stellar,30161645341.271088,50001806812.0,12443139712.412493,616846195.2828918,0.45380328323550667,-2.0763590821467997
bitcoin-cash,18,BCH,Bitcoin Cash,19800337.5,21000000.0,10457408679.201399,269447774.1497111,580.9572461641899,-3.965388373182403
uniswap,19,UNI,Uniswap,600483073.71,,9274231357.432886,451242619.30504465,16.9890791927684,-4.36040493511604
unus-sed-leo,20,LEO,UNUS SED LEO,924547650.9,,8402187044.895822,2310722.1997936885,9.996678635642407,-3.9127128177062684
litecoin,21,LTC,Litecoin,75293212.05410936,84000000.0,8395229136.76643,798944784.1629566,122.65052583766159,-2.626428746125019
near-protocol,22,NEAR,NEAR Protocol,1217906155.0,,7924504434.469279,253357502.49259508,7.1573288648961695,-4.50744078250106
internet-computer,23,ICP,Internet Computer,475556857.35636127,,5738204635.058156,122007820.73611642,13.272913639922596,-2.455473320946359
sp8de,24,SPX,Sp8de,7783756906.18,,5624476053.013312,25608168.15120343,0.7948505757422188,5.332053547083445
multi-collateral-dai,25,DAI,Multi Collateral DAI,5365382702.664872,,5367335260.455839,14739076.198012814,1.1004003094819308,-0.0105906706692817
ethereum-classic,26,ETC,Ethereum Classic,149899425.00524437,210700000.0,4537973654.458131,219289638.0150178,33.300801652369934,-4.569708176525049
vechain,27,VET,VeChain,80985041177.0,86712634466.0,4469260585.157802,128780616.44416857,0.060704873050923314,-6.301484941595591
crypto-com-coin,28,CRO,Crypto.com Coin,25263013692.0,30263013692.0,4328320858.256753,31701160.785093162,0.18846337979027955,-0.3000545665192008
fetch,29,FET,Artificial Superintelligence Alliance,2520000000.0,2630547141.0,4322576715.827344,216538945.78102645,1.886839042623047,-4.490150387568059
hedera-hashgraph,30,HBAR,Hedera Hashgraph,14832756028.0,50000000000.0,4204294586.661116,490047598.81677854,0.3117912838717951,-4.941494022678427
aave,31,AAVE,Aave,15009975.5023012,,4125452339.9468894,401011312.5507597,302.3321106184252,-2.3235942252283084
filecoin,32,FIL,Filecoin,610664240.0,,3816435975.643266,301072400.0675925,6.874611772268822,-2.9743828986672027
algorand,33,ALGO,Algorand,8308501248.921178,10000000000.0,3410997277.065693,252471378.09032175,0.451597332943707,-4.465981810538876
monero,34,XMR,Monero,18446744.07370955,,3396428379.679454,79148775.07576984,202.53282653669373,3.3470183283299795
stacks,35,STX,Stacks,1504293489.39153,1818000000.0,3317425701.9578114,72197709.57088237,2.4258353159725776,-1.1237800095054111
fantom,36,FTM,Fantom,2803634835.5265927,,3217555957.6881304,258122771.61316746,1.262401047600114,-3.8735785549113095
okb,37,OKB,OKB,60000000.0,,3206396033.535581,295632.1007377324,58.78392728148565,-1.2003874613750947
the-graph,38,GRT,The Graph,9548531509.165474,,2512277382.4369183,82500966.98665391,0.2894167671780701,-4.1081086575261025
theta,39,THETA,THETA,1000000000.0,1000000000.0,2430979711.311962,67188374.7855018,2.6740776824431585,-1.3395767964628116
thorchain,40,RUNE,THORChain,340746660.0,,2098090383.0201375,175974926.2805764,6.773065424389345,-5.064477095915643
mantra-dao,41,OM,MANTRA DAO,500205033.17812485,888888888.0,2063415402.221748,169600777.7114601,4.537653145996343,1.2815839461579224
injective-protocol,42,INJ,Injective,73005554.33,100000000.0,2009982684.3889098,111463564.29251039,30.28510601856012,-3.478337872197909
cosmos,43,ATOM,Cosmos,248453201.0,,1992664238.0196962,249788924.99785513,8.822307996030473,-4.829402535708824
gala,44,GALA,Gala,36509972223.529465,,1742491218.9510596,176935537.3299838,0.0524990906350482,-0.2700598901745581
the-sandbox,45,SAND,The Sandbox,2430232126.2233224,,1708848670.8347552,221996920.40973988,0.7734790095296007,-5.662823152044788
lido-dao,46,LDO,Lido DAO,896366955.071101,,1655987857.6711767,17264159.632785384,2.032188528518216,-2.1972603573314036
quant,47,QNT,Quant,12072738.0,14881364.0,1653565368.9361625,31678492.68943859,150.66357820651612,-5.254633869897413
maker,48,MKR,Maker,888903.32913481,1005577.0,1599272139.8115933,108539457.04370965,1979.0671225239103,-8.325821223332449
raydium,49,RAY,Raydium,290912824.263258,,1594354078.1928885,179610475.57558978,6.028573991035566,21.5988756889802
eos,50,EOS,EOS,1532923268.1771,,1593595828.2533886,235456134.1666534,1.1435376104397466,-2.520272247785147
kucoin-token,51,KCS,KuCoin Token,120225681.14607973,200000000.0,1550308767.9616663,2279633.810008688,14.184487278435686,-0.14757311197354
arweave,52,AR,Arweave,65652466.0,66000000.0,1457846998.3862221,102549327.54940802,24.42606951313671,-1.2205033881191287
helium,53,HNT,Helium,174579202.32581443,,1449278338.7764728,20283064.874249827,9.131707279077139,7.619239263655156
tezos,54,XTZ,Tezos,1017703411.301628,,1410540299.7347684,82289218.8908299,1.524603644320872,-5.349235669196818
flow,55,FLOW,Flow,1549112753.0589437,,1402158223.7558887,43225195.28070567,0.9956499571034069,-2.361497699092099
iota,56,IOTA,IOTA,3554846536.0,,1311679586.8700068,71852956.15503974,0.40588180978989175,-5.21736770113982
aioz-network,57,AIOZ,AIOZ Network,1142633903.9550474,,1304831969.2608194,18204333.430278182,1.256146138512768,6.602478096436728
bitcoin-sv,58,BSV,Bitcoin SV,19795765.625,,1277063965.1988733,20698875.347238492,70.96317406105685,-5.399848711722625
curve-dao-token,59,CRV,Curve DAO Token,1250716098.0,,1274334470.8728766,177978901.6864917,1.1207722681443928,-14.932423947312
neo,60,NEO,Neo,70538831.0,100000000.0,1218724874.0777545,50487029.88615822,19.005097511263404,-2.0278889122326285
decentraland,61,MANA,Decentraland,1942255184.1130493,,1173713646.9546509,79153440.25152871,0.6647350060953515,-2.0105276008877513
